nama_fasilitas,jenis_fasilitas,latitude,longitude,provinsi,kota_kabupaten
RS ZR Tedja,hospital,-6.9057428,107.6201443,Jawa Barat,Kota Bandung
Apotek Rahayu,pharmacy,-6.9225909,107.5934155,Jawa Barat,Kota Bandung
RSAU Dr Salamun,hospital,-6.8643151,107.6048127,Jawa Barat,Kota Bandung
RS Paru dr Rotinsulu,hospital,-6.8777867,107.6064864,Jawa Barat,Kota Bandung
Mitrasana,pharmacy,-6.2671366,107.1051666,Jawa Barat,Bekasi
Rumah Sakit Gigi dan Mulut Unpad,dentist,-6.8906876,107.6191131,Jawa Barat,Kota Bandung
RSGM Kota Bandung,hospital,-6.9063359,107.614114,Jawa Barat,Kota Bandung
Klinik Kurnia Asih,pharmacy,-6.3823013,106.8143365,Jawa Barat,Depok
Klinik Bhakti Asih,hospital,-6.3945462,106.8142741,Jawa Barat,Depok
Rumah Sakit Ginjal Nyonya Ra Habibie,hospital,-6.8853403,107.6203433,Jawa Barat,Kota Bandung
Puskesmas Dago,hospital,-6.8759742,107.6185752,Jawa Barat,Kota Bandung
Puskesmas Cikutra Lama,hospital,-6.8913271,107.6272402,Jawa Barat,Kota Bandung
Guardian,pharmacy,-6.2195214,106.8369931,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Puskesmas Jatinangor,hospital,-6.9324021,107.7774737,Jawa Barat,Sumedang
Duta Kartini,pharmacy,-6.8822943,107.581102,Jawa Barat,Kota Bandung
Tidak bernama,pharmacy,-6.6175376,106.8147692,Jawa Barat,Kota Bogor
Tidak bernama,pharmacy,-6.5948477,106.8062786,Jawa Barat,Kota Bogor
RSUD Leuwiliang,hospital,-6.5747943,106.6274907,Jawa Barat,Bogor
Apotek,pharmacy,-6.575453,106.6341483,Jawa Barat,Bogor
Medika,hospital,-6.5762311,106.637131,Jawa Barat,Bogor
Apotik Beji,pharmacy,-6.3886131,106.814029,Jawa Barat,Depok
Mekarsari Pharmacy,pharmacy,-6.3668976,106.865116,Jawa Barat,Depok
Apotek,pharmacy,-6.3682794,106.8345754,Jawa Barat,Depok
Rumah Sakit El-Syifa,hospital,-6.9724883,108.5199077,Jawa Barat,Kuningan
Kuningan Medical Center,hospital,-6.9739124,108.5261648,Jawa Barat,Kuningan
Tidak bernama,pharmacy,-6.1988682,106.8857653,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek K-24,pharmacy,-6.1990295,106.8857523,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotik Rini,pharmacy,-6.1997376,106.885863,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotik Damai,pharmacy,-6.2431741,106.934647,Daerah Khusus Ibukota Jakarta,DKI Jakarta
"Ahli Gigi ""Zifara Dental""",dentist,-6.2178662,106.8376294,Daerah Khusus Ibukota Jakarta,DKI Jakarta
"Prakter Dokter ""Sri Maryanti""",doctors,-6.2164596,106.8386538,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Prakter Dokter Umum dr.Deddy L,doctors,-6.217628,106.8376259,Daerah Khusus Ibukota Jakarta,DKI Jakarta
"Balai Pengobatan ""Yakrija""",doctors,-6.2177621,106.8400204,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Puskesmas Pasundan,hospital,-6.9273603,107.6089534,Jawa Barat,Kota Bandung
PUSKESMAS Sagaranten,hospital,-7.2159712,106.8835408,Jawa Barat,Sukabumi
Tidak bernama,hospital,-6.9004583,107.5961352,Jawa Barat,Kota Bandung
Rumah Sakit Bungsu,hospital,-6.918536,107.6134282,Jawa Barat,Kota Bandung
Puskesmas Cikajang,hospital,-7.3566975,107.8075445,Jawa Barat,Garut
PT Indofarma,pharmacy,-6.2075283,106.8500578,Daerah Khusus Ibukota Jakarta,DKI Jakarta
RS Harapan,hospital,-6.299652,107.1594616,Jawa Barat,Bekasi
